min_macs_peak_intensity,macs_q,peaks ,overlapping L1HS,l1hs percent,overlapping full length L1HS,full length percent,blen,filter_ref,smk_mapq,bam_file,bam_size,overlapping all l1
0,0.01,1089,166,0.152433425,144,0.132231405,1,5'UTR,0,L15UTR_blen100.bam,44MB,1076
0,0.005,927,148,0.1596548,127,0.137001079,1,5'UTR,0,L15UTR_blen100.bam,44MB,919
0,0.0005,227,36,0.158590308,32,0.140969163,1,5'UTR,0,L15UTR_blen100.bam,44MB,227
0,0.0001,171,29,0.169590643,25,0.14619883,1,5'UTR,0,L15UTR_blen100.bam,44MB,171
0,0.01,41214,834,0.020235842,297,0.007206289,0,all,0,L1HS_all.bam,1.6GB,
0,0.005,30867,622,0.02015097,220,0.007127353,0,all,0,L1HS_all.bam,1.6GB,
0,0.001,20394,389,0.019074238,131,0.006423458,0,all,0,L1HS_all.bam,1.6GB,
0,0.0005,18098,349,0.019283899,120,0.006630567,0,all,0,L1HS_all.bam,1.6GB,
0,0.0001,12816,239,0.018648564,76,0.005930087,0,all,0,L1HS_all.bam,1.6GB,
0,0.01,30408,1315,0.043245199,699,0.022987372,0.95,consensus,0,L1_blen95_v3.bam,1.1GB,
0,0.01,28976,749,0.025848978,305,0.010525953,0,consensus,0,output_10-6-20.bam,1.1GB,
0,0.005,25070,636,0.025368967,248,0.009892302,0,consensus,0,output_10-6-20.bam,1.1GB,
5,0.01,22406,699,0.031197001,394,0.017584576,0.95,consensus,0,L1_blen95_v3.bam,1.1GB,
0,0.001,15888,410,0.025805639,155,0.009755791,0,consensus,0,output_10-6-20.bam,1.1GB,
0,0.0005,12091,298,0.024646431,112,0.009263088,0,consensus,0,output_10-6-20.bam,1.1GB,
0,0.001,10822,620,0.057290704,360,0.03326557,1,consensus,0,L1_blen100_v3.bam,980MB,
7.5,0.01,10277,350,0.034056631,202,0.019655542,0.95,consensus,0,L1_blen95_v3.bam,1.1GB,
5,0.001,10021,588,0.058676779,342,0.034128331,1,consensus,0,L1_blen100_v3.bam,980MB,
